Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
KEGG_PATHWAY,dme01100:Metabolic pathways,261,10.59253247,1.20E-11,"FBGN0034988, FBGN0034417, FBGN0036545, FBGN0030662, FBGN0027785, FBGN0030761, FBGN0259113, FBGN0037744, FBGN0036942, FBGN0020930, FBGN0022359, FBGN0265190, FBGN0037146, FBGN0263241, FBGN0003423, FBGN0039360, FBGN0052495, FBGN0032820, FBGN0047038, FBGN0033961, FBGN0032015, FBGN0003141, FBGN0037801, FBGN0034276, FBGN0034277, FBGN0035435, FBGN0036662, FBGN0036663, FBGN0000052, FBGN0027506, FBGN0036183, FBGN0000053, FBGN0010611, FBGN0086254, FBGN0010612, FBGN0000055, FBGN0263852, FBGN0038619, FBGN0032811, FBGN0035107, FBGN0039094, FBGN0035521, FBGN0037165, FBGN0024289, FBGN0037164, FBGN0010222, FBGN0036551, FBGN0052230, FBGN0036381, FBGN0261625, FBGN0023537, FBGN0036959, FBGN0037684, FBGN0010548, FBGN0026314, FBGN0039112, FBGN0053303, FBGN0011770, FBGN0039776, FBGN0266582, FBGN0035032, FBGN0022029, FBGN0039774, FBGN0267823, FBGN0030914, FBGN0262782, FBGN0013307, FBGN0013308, FBGN0032002, FBGN0011361, FBGN0033999, FBGN0019643, FBGN0011762, FBGN0000592, FBGN0030300, FBGN0036975, FBGN0261363, FBGN0029801, FBGN0030612, FBGN0037108, FBGN0030718, FBGN0031479, FBGN0250814, FBGN0031771, FBGN0034035, FBGN0031066, FBGN0001092, FBGN0015781, FBGN0033294, FBGN0016123, FBGN0037279, FBGN0038922, FBGN0030041, FBGN0015277, FBGN0032726, FBGN0039909, FBGN0086532, FBGN0031908, FBGN0267350, FBGN0039241, FBGN0031661, FBGN0031663, FBGN0053138, FBGN0029823, FBGN0034649, FBGN0034712, FBGN0037958, FBGN0034141, FBGN0024958, FBGN0032713, FBGN0024957, FBGN0035147, FBGN0030737, FBGN0051075, FBGN0035600, FBGN0014028, FBGN0034364, FBGN0030853, FBGN0040773, FBGN0263911, FBGN0039738, FBGN0030431, FBGN0032222, FBGN0003748, FBGN0042083, FBGN0019624, FBGN0037873, FBGN0026754, FBGN0034877, FBGN0033377, FBGN0029118, FBGN0015011, FBGN0034629, FBGN0052549, FBGN0011336, FBGN0030968, FBGN0019932, FBGN0002891, FBGN0260746, FBGN0250906, FBGN0025742, FBGN0032393, FBGN0028325, FBGN0026756, FBGN0023477, FBGN0041629, FBGN0012036, FBGN0029975, FBGN0265262, FBGN0053977, FBGN0262512, FBGN0020389, FBGN0033246, FBGN0283494, FBGN0270927, FBGN0014417, FBGN0028497, FBGN0086355, FBGN0020385, FBGN0032775, FBGN0030592, FBGN0042627, FBGN0028336, FBGN0085453, FBGN0032382, FBGN0043002, FBGN0040251, FBGN0001258, FBGN0036300, FBGN0035639, FBGN0028833, FBGN0015031, FBGN0034605, FBGN0038763, FBGN0041630, FBGN0066114, FBGN0014427, FBGN0036030, FBGN0010352, FBGN0036762, FBGN0035445, FBGN0027579, FBGN0039580, FBGN0043783, FBGN0027945, FBGN0033518, FBGN0051472, FBGN0061356, FBGN0039877, FBGN0030670, FBGN0031824, FBGN0030478, FBGN0040377, FBGN0037064, FBGN0030687, FBGN0043799, FBGN0033500, FBGN0001125, FBGN0020506, FBGN0029888, FBGN0261436, FBGN0038742, FBGN0004516, FBGN0034390, FBGN0027560, FBGN0032076, FBGN0037607, FBGN0037709, FBGN0017566, FBGN0261439, FBGN0032358, FBGN0261020, FBGN0261575, FBGN0259749, FBGN0032350, FBGN0031830, FBGN0004654, FBGN0000079, FBGN0000078, FBGN0043791, FBGN0004463, FBGN0001124, FBGN0022097, FBGN0039464, FBGN0067102, FBGN0014455, FBGN0027552, FBGN0261445, FBGN0041342, FBGN0033101, FBGN0262559, FBGN0016691, FBGN0037339, FBGN0003076, FBGN0038463, FBGN0000150, FBGN0038467, FBGN0003074, FBGN0035964, FBGN0000536, FBGN0003071, FBGN0037728, FBGN0030882, FBGN0033520, FBGN0036824, FBGN0037723, FBGN0030884, FBGN0030239, FBGN0032684, FBGN0032052, FBGN0035679, FBGN0014869, FBGN0014868, FBGN0020236, FBGN0014032, FBGN0020235, FBGN0035978, FBGN0021906, FBGN0025885, FBGN0036622, FBGN0034997",573,809,2402,1.352416208,1.48E-09,1.48E-09,1.39E-08
GOTERM_CC_DIRECT,GO:0005811~lipid particle,86,3.49025974,2.53E-10,"FBGN0000046, FBGN0010548, FBGN0000042, FBGN0035600, FBGN0005585, FBGN0039114, FBGN0033226, FBGN0021795, FBGN0004045, FBGN0000557, FBGN0035206, FBGN0037298, FBGN0035032, FBGN0262782, FBGN0039674, FBGN0003885, FBGN0019624, FBGN0034877, FBGN0029118, FBGN0250848, FBGN0259682, FBGN0001125, FBGN0030519, FBGN0011016, FBGN0034390, FBGN0027560, FBGN0037607, FBGN0037146, FBGN0001220, FBGN0025700, FBGN0033446, FBGN0053113, FBGN0002562, FBGN0015245, FBGN0031830, FBGN0002565, FBGN0038038, FBGN0002031, FBGN0035121, FBGN0003360, FBGN0004363, FBGN0028327, FBGN0038535, FBGN0010391, FBGN0250814, FBGN0012036, FBGN0001092, FBGN0033246, FBGN0036334, FBGN0283494, FBGN0262559, FBGN0039562, FBGN0016691, FBGN0038271, FBGN0028646, FBGN0027932, FBGN0032729, FBGN0005391, FBGN0020385, FBGN0266369, FBGN0016075, FBGN0262743, FBGN0040793, FBGN0250788, FBGN0042627, FBGN0003074, FBGN0000639, FBGN0040340, FBGN0014002, FBGN0010551, FBGN0015790, FBGN0015035, FBGN0033663, FBGN0000055, FBGN0010612, FBGN0266599, FBGN0015031, FBGN0015795, FBGN0034753, FBGN0014868, FBGN0020236, FBGN0036449, FBGN0025678, FBGN0020235, FBGN0037912, FBGN0036762",1790,210,8313,1.90188348,1.38E-07,1.38E-07,3.68E-07
UP_KEYWORDS,Oxidoreductase,169,6.858766234,4.91E-09,"FBGN0031418, FBGN0032614, FBGN0051075, FBGN0032945, FBGN0014028, FBGN0034364, FBGN0030853, FBGN0029648, FBGN0036290, FBGN0040773, FBGN0263911, FBGN0037354, FBGN0263392, FBGN0030332, FBGN0031726, FBGN0019624, FBGN0037873, FBGN0036749, FBGN0034877, FBGN0086712, FBGN0263047, FBGN0034629, FBGN0039827, FBGN0022359, FBGN0031689, FBGN0030968, FBGN0011828, FBGN0037146, FBGN0030966, FBGN0038981, FBGN0261673, FBGN0038033, FBGN0003423, FBGN0038038, FBGN0037933, FBGN0036125, FBGN0028325, FBGN0032116, FBGN0034387, FBGN0012036, FBGN0030597, FBGN0029975, FBGN0033820, FBGN0263830, FBGN0033961, FBGN0047038, FBGN0031432, FBGN0039756, FBGN0030451, FBGN0037801, FBGN0032775, FBGN0020385, FBGN0034276, FBGN0031126, FBGN0030592, FBGN0034075, FBGN0040309, FBGN0042627, FBGN0040308, FBGN0036663, FBGN0033631, FBGN0001258, FBGN0036183, FBGN0034500, FBGN0015035, FBGN0086254, FBGN0000055, FBGN0015033, FBGN0033830, FBGN0051810, FBGN0025628, FBGN0015031, FBGN0029866, FBGN0024289, FBGN0010222, FBGN0010226, FBGN0010352, FBGN0052230, FBGN0051809, FBGN0036762, FBGN0030073, FBGN0023537, FBGN0013773, FBGN0035904, FBGN0035906, FBGN0010548, FBGN0030575, FBGN0051674, FBGN0010044, FBGN0033518, FBGN0040529, FBGN0039776, FBGN0051472, FBGN0061356, FBGN0266582, FBGN0037298, FBGN0033079, FBGN0034748, FBGN0267823, FBGN0033980, FBGN0031824, FBGN0262782, FBGN0034067, FBGN0029888, FBGN0030519, FBGN0040512, FBGN0034390, FBGN0038742, FBGN0041337, FBGN0037709, FBGN0017566, FBGN0261439, FBGN0035914, FBGN0037974, FBGN0030588, FBGN0037973, FBGN0036262, FBGN0032350, FBGN0038076, FBGN0033065, FBGN0031830, FBGN0261363, FBGN0030304, FBGN0004654, FBGN0030615, FBGN0032259, FBGN0050491, FBGN0030718, FBGN0038236, FBGN0031479, FBGN0033679, FBGN0250814, FBGN0261445, FBGN0027552, FBGN0031771, FBGN0015714, FBGN0050489, FBGN0031066, FBGN0033101, FBGN0001092, FBGN0053503, FBGN0015781, FBGN0262559, FBGN0038271, FBGN0002937, FBGN0038922, FBGN0032729, FBGN0039043, FBGN0030041, FBGN0033190, FBGN0040349, FBGN0035964, FBGN0039909, FBGN0038519, FBGN0033520, FBGN0033521, FBGN0036824, FBGN0085201, FBGN0051548, FBGN0032055, FBGN0030367, FBGN0014032, FBGN0034442, FBGN0032889, FBGN0021906, FBGN0003388, FBGN0033188, FBGN0030737, FBGN0014469",2385,538,11424,1.504645671,1.73E-06,1.73E-06,6.72E-06
KEGG_PATHWAY,dme01130:Biosynthesis of antibiotics,69,2.800324675,5.19E-09,"FBGN0051075, FBGN0037684, FBGN0039580, FBGN0036298, FBGN0043783, FBGN0014028, FBGN0027945, FBGN0039112, FBGN0031099, FBGN0061356, FBGN0031824, FBGN0262782, FBGN0037873, FBGN0013307, FBGN0013308, FBGN0033377, FBGN0029118, FBGN0001125, FBGN0032076, FBGN0037607, FBGN0037709, FBGN0261439, FBGN0259749, FBGN0003423, FBGN0032350, FBGN0250906, FBGN0004654, FBGN0030612, FBGN0001124, FBGN0031633, FBGN0028325, FBGN0023477, FBGN0012036, FBGN0032820, FBGN0020389, FBGN0001092, FBGN0015781, FBGN0283494, FBGN0262559, FBGN0038922, FBGN0086355, FBGN0037801, FBGN0003076, FBGN0028336, FBGN0000150, FBGN0038467, FBGN0003074, FBGN0036663, FBGN0001258, FBGN0003071, FBGN0000052, FBGN0000053, FBGN0010611, FBGN0000055, FBGN0030239, FBGN0039094, FBGN0035679, FBGN0014869, FBGN0039241, FBGN0020236, FBGN0029823, FBGN0014427, FBGN0036030, FBGN0035978, FBGN0010352, FBGN0024958, FBGN0024957, FBGN0025885, FBGN0036762",573,153,2402,1.890497211,6.38E-07,3.19E-07,5.98E-06
GOTERM_CC_DIRECT,GO:0012505~endomembrane system,76,3.084415584,6.51E-08,"FBGN0035909, FBGN0037718, FBGN0025682, FBGN0005585, FBGN0037312, FBGN0053523, FBGN0032514, FBGN0004003, FBGN0053303, FBGN0039776, FBGN0035519, FBGN0021795, FBGN0266449, FBGN0032704, FBGN0035206, FBGN0029709, FBGN0037443, FBGN0027095, FBGN0000083, FBGN0031544, FBGN0052069, FBGN0035916, FBGN0036643, FBGN0010638, FBGN0011016, FBGN0030099, FBGN0011336, FBGN0265190, FBGN0052506, FBGN0053113, FBGN0052451, FBGN0038039, FBGN0010470, FBGN0030306, FBGN0037933, FBGN0045073, FBGN0261800, FBGN0037074, FBGN0038535, FBGN0037756, FBGN0028327, FBGN0010391, FBGN0034962, FBGN0027554, FBGN0027497, FBGN0004132, FBGN0069242, FBGN0039562, FBGN0032015, FBGN0038950, FBGN0024234, FBGN0086357, FBGN0266369, FBGN0040348, FBGN0034277, FBGN0030456, FBGN0037084, FBGN0034075, FBGN0041723, FBGN0040308, FBGN0014002, FBGN0262801, FBGN0045866, FBGN0032643, FBGN0034500, FBGN0033663, FBGN0031996, FBGN0263852, FBGN0034753, FBGN0014868, FBGN0025678, FBGN0263260, FBGN0037917, FBGN0030329, FBGN0050291, FBGN0014469",1790,197,8313,1.791645634,3.55E-05,1.78E-05,9.48E-05
KEGG_PATHWAY,dme00051:Fructose and mannose metabolism,16,0.649350649,4.83E-06,"FBGN0036183, FBGN0036300, FBGN0027552, FBGN0086254, FBGN0022359, FBGN0034035, FBGN0032820, FBGN0033101, FBGN0024289, FBGN0031661, FBGN0037279, FBGN0086355, FBGN0267823, FBGN0037744, FBGN0003071, FBGN0036942",573,21,2402,3.193883487,5.93E-04,1.98E-04,0.005564104
UP_KEYWORDS,Muscle protein,13,0.527597403,5.19E-06,"FBGN0283471, FBGN0002773, FBGN0002772, FBGN0264695, FBGN0005633, FBGN0011705, FBGN0013348, FBGN0003149, FBGN0004117, FBGN0010423, FBGN0004169, FBGN0002789, FBGN0010424",2385,16,11424,3.891823899,0.001825258,9.13E-04,0.007104194
INTERPRO,IPR016040:NAD(P)-binding domain,57,2.313311688,8.07E-06,"FBGN0031418, FBGN0032614, FBGN0029648, FBGN0051674, FBGN0037298, FBGN0033079, FBGN0267823, FBGN0037354, FBGN0030332, FBGN0262782, FBGN0015011, FBGN0022359, FBGN0034390, FBGN0030968, FBGN0038033, FBGN0032350, FBGN0004654, FBGN0038038, FBGN0030305, FBGN0050491, FBGN0033679, FBGN0261445, FBGN0014455, FBGN0029975, FBGN0263830, FBGN0001092, FBGN0015781, FBGN0262559, FBGN0030041, FBGN0039043, FBGN0020385, FBGN0040349, FBGN0042627, FBGN0035964, FBGN0036663, FBGN0001258, FBGN0034500, FBGN0000055, FBGN0051810, FBGN0051548, FBGN0029866, FBGN0024289, FBGN0031661, FBGN0032055, FBGN0020236, FBGN0036997, FBGN0014032, FBGN0010222, FBGN0033769, FBGN0032889, FBGN0030799, FBGN0025885, FBGN0051809, FBGN0035147, FBGN0030073, FBGN0033188, FBGN0030737",2074,150,9553,1.750308582,0.019120712,0.019120712,0.014160355
KEGG_PATHWAY,dme00520:Amino sugar and nucleotide sugar metabolism,23,0.933441558,5.02E-05,"FBGN0033377, FBGN0036300, FBGN0041629, FBGN0261445, FBGN0036298, FBGN0039580, FBGN0034035, FBGN0035398, FBGN0031661, FBGN0041630, FBGN0037279, FBGN0031099, FBGN0034442, FBGN0259749, FBGN0003076, FBGN0267823, FBGN0029801, FBGN0038321, FBGN0039690, FBGN0035978, FBGN0035147, FBGN0037744, FBGN0003074",573,42,2402,2.295603756,0.006155921,0.001542546,0.057870232
KEGG_PATHWAY,dme01200:Carbon metabolism,37,1.501623377,9.30E-05,"FBGN0023477, FBGN0037684, FBGN0014028, FBGN0032820, FBGN0001092, FBGN0039112, FBGN0262559, FBGN0038922, FBGN0086355, FBGN0061356, FBGN0037801, FBGN0030478, FBGN0028336, FBGN0262782, FBGN0003074, FBGN0037873, FBGN0003071, FBGN0029118, FBGN0001125, FBGN0038742, FBGN0037607, FBGN0030239, FBGN0261439, FBGN0014869, FBGN0029823, FBGN0032350, FBGN0014427, FBGN0036030, FBGN0004654, FBGN0250906, FBGN0010352, FBGN0024958, FBGN0024957, FBGN0001124, FBGN0028325, FBGN0023537, FBGN0036762",573,85,2402,1.824740786,0.011372024,0.002284822,0.107160284
